email,current_password,new_password,confirm_new_password,expected_result
lequochan@gmail.com,,,,current password does not matches
lequochan@gmail.com,welcome02,,,new password field is required
lequochan@gmail.com,welcome02,welcomE03@,welcomE03@,successfully
lequochan@gmail.com,welcome02,welcomE03@,welcomE04@,password field confirmation does not match
lequochan@gmail.com,welcome02,welcome02,welcome02,cannot be same as your current
lequochan@gmail.com,welcome02,welcE03@,welcE03@,successfully
lequochan@gmail.com,welcome02,welcE0@,welcE0@,at least 8
lequochan@gmail.com,welcome02,welcomE01,welcomE01,least one symbol
lequochan@gmail.com,welcome02,welcome01@,welcome01@,one uppercase
lequochan@gmail.com,welcome02,WELCOME01@,WELCOME01@,one lowercase
lequochan@gmail.com,welcome02,Welcome11@Welcome11@Welcome11@Welcome11@Welcome11@Welcome11@,Welcome11@Welcome11@Welcome11@Welcome11@Welcome11@Welcome11@,exceed
